Koordinatensystem : Lambert konform konisch
Rechtswert        : 3799500 Meter
Hochwert          : 2747500 Meter
Hoehenlage        : 48 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3799500 2747500  1  1  1   3.0 1028 234  4.2 7  4.3  90    0    0 254 -282  3
3799500 2747500  1  1  2   1.6 1028 244  4.1 6  3.9  91    0    0 253 -281  3
3799500 2747500  1  1  3   0.6 1029 251  4.0 6  3.6  92    0    0 239 -281  3
3799500 2747500  1  1  4   0.5 1029 250  4.0 6  3.6  93    0    0 237 -280  3
3799500 2747500  1  1  5   0.5 1029 248  4.0 7  3.6  93    0    0 244 -279  3
3799500 2747500  1  1  6   0.4 1030 242  4.0 8  3.6  93    0    0 245 -279  3
3799500 2747500  1  1  7   0.6 1030 248  3.5 8  3.6  93    0    0 248 -278  3
3799500 2747500  1  1  8   0.6 1030 242  3.5 8  3.6  93    0    0 248 -278  3
3799500 2747500  1  1  9   0.6 1031 244  3.7 7  3.6  92    0    0 246 -278  3
3799500 2747500  1  1 10   0.2 1032 243  4.2 6  3.5  92    1   35 240 -279  3
3799500 2747500  1  1 11   0.1 1032 238  3.8 6  3.5  92    1   63 237 -281  3
3799500 2747500  1  1 12   0.0 1032 244  3.9 6  3.5  93    0   71 238 -286  3
3799500 2747500  1  1 13  -0.1 1032 243  3.8 7  3.4  93    0   60 244 -290  3
3799500 2747500  1  1 14  -0.2 1032 235  4.2 7  3.4  93    0   52 248 -294  3
3799500 2747500  1  1 15  -0.2 1032 239  4.5 7  3.4  92    0   35 247 -295  3
3799500 2747500  1  1 16  -0.2 1032 235  4.5 8  3.3  91    0   17 247 -292  3
3799500 2747500  1  1 17  -0.2 1032 226  4.3 8  3.3  91    0    1 248 -289  3
3799500 2747500  1  1 18  -0.2 1032 241  4.4 8  3.3  91    0    0 247 -286  3
3799500 2747500  1  1 19  -0.4 1032 233  4.8 8  3.3  92    0    0 246 -284  3
3799500 2747500  1  1 20  -0.4 1031 233  4.0 8  3.3  92    0    0 245 -283  3
