building_name,net_leased_area,building_age_group,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sumwithd
'distric2_cb589803-190a-4939-a3bd-c298ed28b2b8',307.406494140625,"(1949,1957)",-11374.860039077546,78.14239732808753,890.3431231693081,20107.41244970942,248.99926025390624,118.30153060861556,-553.331689453125,None,None,None,None,9458.09264623344,None,171.53282373046875,672.8673513206855,12162.888024475033,7.0951989567279306,-6465.8831881856695,42393.85759583517,35927.974407649504
'distric2_5a108a98-50f8-4d40-818d-bcaeca7f6fc5',311.026611328125,"(1949,1957)",-11508.81402872239,79.06262718995393,900.8280885307854,20314.624876112786,251.93155517578123,119.69468726739419,-559.847900390625,None,None,None,None,9569.48898347571,None,173.55284912109374,680.7886951504612,12305.636051721955,7.168559510625991,-6541.8323534918345,42863.03835714518,36321.20600365335
'distric2_d81c04df-ec2a-495d-bf57-7aae527b0bcd',293.2939453125,"(1949,1957)",-14470.210798311442,99.40667030084472,1132.6251602944253,14625.299667764939,316.7574609375,150.49399111625326,-703.90546875,None,None,None,None,9023.639024379532,None,218.2106953125,855.0223984544473,15292.689142165638,5.250584913714764,-8153.126677808641,39783.457496294526,31630.330818485883
'distric2_65ae799f-956f-4a2f-bab6-a0eac66e87cd',292.112548828125,"(1949,1957)",-14411.924371201343,99.00625736121955,1128.062913429558,14577.298521288,315.481552734375,149.88779697257644,-701.0701171875,None,None,None,None,8987.29221352678,None,217.331736328125,851.5792867738179,15231.269018271243,5.233195683859241,-8120.357625250507,39634.303204391275,31513.945579140767
'distric2_9a2968a4-90bd-4a3c-aec9-b1004a80891d',298.9500732421875,"(1949,1957)",-14749.266553647918,101.32371241259636,1154.4676596211068,14870.926439288945,322.8660791015625,153.39624423128373,-717.48017578125,None,None,None,None,9197.652344033375,None,222.4188544921875,871.5082231374004,15587.007823302058,5.339289014959628,-8310.118177139908,40513.63512082052,32203.516943680617
'distric2_612a43db-667e-4b37-996e-7e15e4c8a87c',475.657470703125,"(1949,1957)",-23467.459792026348,161.21548406305973,1836.8658051442121,22352.86675744962,513.710068359375,244.0677426671881,-1141.5779296875,None,None,None,None,14634.138539340513,None,353.889158203125,1386.5378305619354,24778.88894702414,8.04442978734728,-13213.543236990197,63130.56554370575,49917.02230671555
'distric2_eff7bbfe-f93c-4519-83bd-111afee38090',482.3258056640625,"(1949,1957)",-23796.454693219086,163.47559541384547,1862.6171855417222,22632.25880667653,520.9118701171875,247.48937600947298,-1157.58193359375,None,None,None,None,14839.284360635711,None,358.8503994140625,1405.9730376009086,25125.710726659418,8.145495519047152,-13398.562319809229,63981.042139038596,50582.47981922937
'distric2_f36950cd-b71c-48b1-8fec-6d922ef45bfc',494.3697509765625,"(1949,1957)",-24390.665485158617,167.55767252432057,1909.1277791225514,23093.996011786418,533.9193310546875,253.66932424172435,-1186.48740234375,None,None,None,None,15209.822606387374,None,367.8110947265625,1441.0720313659804,25751.41469755731,8.31325382704053,-13732.449731842118,65473.53094860334,51741.08121676122
'distric2_83a20812-75aa-44d2-9d25-24ef39808e04',484.6146240234375,"(1949,1957)",-23909.377870354274,164.2513489391577,1871.4560085130242,28734.78434589166,523.3837939453125,248.66380669700555,-1163.07509765625,None,None,None,None,14909.797471031063,None,360.5532802734375,1413.1632297537412,25343.451949691742,10.250453094103838,-13501.69565325616,70380.97323272182,56879.27757946566
'distric2_89aba44e-ddba-4480-abbf-3819fdce96bd',474.3446044921875,"(1949,1957)",-23402.687057621602,160.77051184094063,1831.7958562878732,22172.392317006586,512.2921728515624,243.39408922481942,-1138.4270507812498,None,None,None,None,14593.747569815732,None,352.9123857421875,1382.700566607449,24708.54479783136,7.981287758282339,-13176.288801013572,62835.538136056726,49659.249335043154
