building_name,net_leased_area ,building_age_group, a1, a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
DEHHALKA10000t7C,1350.308837890625,"(2002, 2009)",0.3488114347160113,0.010573135673785984,1.6885046546365794,413.37503669503326,19.562535057440133,1.75468245940975,,,,,,51.26556794968943,,11.080808027744979,21.638270579087504,15.3312275140465,47.29718070952946,-37.125832331317426,581.3053089919811,544.1794766606637
DEHHALKA10000t7F,1348.009033203125,"(2002, 2009)",0.280173219511699,0.008492581283840117,1.3562450601287719,454.853715726737,19.581957564393715,1.740020931723293,,,,,,51.17825483060998,,11.066304919665349,21.7440145081338,15.408202824490827,47.395640604148,-50.9208740818229,622.9681119099017,572.0472378280788
DEHHALKA10000t79,1348.662109375,"(2002, 2009)",0.2803089563273684,0.008496695723979297,1.3569021264467094,453.0313163327624,19.486861446708858,1.7357439346909898,,,,,,51.20304935636579,,11.0657667153685,21.668366088450558,15.37093617048493,47.31407441416599,-50.718481593052886,620.876114458998,570.1576328659452
DEHHALKA3Aw000Dnbt_1,603.001953125,"(1979, 1983)",0.2867005593960642,0.15718439270383783,4.779421885814539,298.34050228973837,9.307686009402289,0.7735079145223392,,,,,,23.13838038069198,,6.299492220364412,11.320942013384398,7.556805721925499,22.075244286217572,-29.928705156812843,378.81256083624686,348.883855679434
DEHHALKA3gi00005bt_1,759.09765625,"(1979, 1983)",0.3609171107245181,0.19787382691251199,6.016643781914404,435.00936543549227,18.37686670506211,1.3601595129611208,,,,,,29.180107323541613,,9.65096523652803,20.70202899413053,12.564825345739884,34.56103224657689,-38.33124093633458,561.4053508000325,523.0741098636979
DEHHALKA900014M0bt_1,852.228515625,"(1979, 1983)",0.40519668451607055,0.22215022850123345,6.754803360394776,421.09348138214835,13.474330906034771,1.1088569595633637,,,,,,32.559612236691024,,8.92116716939444,16.256604745648445,10.810925557483847,31.508546683847733,-41.89501740799353,535.733525640812,493.83850823281847
DEHHALKA900014M0bt_2,4.0,"(1979, 1983)",,,,13.964767941888569,0.05771049910627516,0.004344902930440497,,,,,,0.18631825966108784,,0.029272183367870113,0.07154483805589824,0.052448499849888426,0.14983868751319834,-1.6119895659602173,14.516245812373228,12.904256246413011
DEHHALKAJ000109w,1832.744140625,"(1949, 1957)",5.228329038975331,2.866446185449819,87.15849835715888,319.3750143951318,5.6411864648437495,0.8623196350829272,,,,,,69.58162134686782,,14.845227539062499,16.16673081953104,6.08191793076446,0.15475269044536896,-70.37667714333469,432.7087708217297,362.332093678395
DEHHALKAJ00010D9bt_1,1199.3701171875,"(1979, 1983)",0.5702470476895761,0.3126395570035046,9.506264047024743,552.6947151253231,23.765149031824606,1.8180662974561466,,,,,,45.54140412369665,,13.325692985041478,27.100624342506002,17.263030873432328,49.04415253141897,-49.35764095362424,730.5528353106993,681.195194357075
DEHHALKAJ00010A0,590.72265625,"(1958, 1968)",1.9660361062178404,1.0778848567322035,32.774669202435255,146.09420585810702,2.788791500591417,0.4241823954703205,,,,,,22.42754065010239,,7.064773775922646,7.706683760319812,3.0488360825598613,2.0959126665438466,-29.110246432296712,191.65092668961734,162.54068025732062
DEHHALKAJ00010D6,620.953125,"(1969, 1978)",0.2952355417318686,0.16186372091309356,4.921703719713689,244.89497694137424,6.848664453274984,0.8966802975149751,,,,,,23.575231866475487,,15.591271760277078,17.65826373383797,7.45306890465224,17.41012569598261,-27.944507393981443,334.3282836533896,306.38377625940814
DEHHALKAJ00010Ax,810.3994140625,"(1949, 1957)",2.3118528635790128,1.2674798721975709,38.5395835859127,146.19794316302773,2.4944093964843748,0.3812989012025875,,,,,,30.76777872970395,,6.564235253906249,7.149285233492273,2.689691497370633,0.07670707159170853,-31.14936232794237,196.32134924677948,165.1719869188371
DEHHALKAJ000108c,718.572265625,"(1969, 1978)",0.3416490932633491,0.1873100818343,5.695437626809037,281.70022894571,7.906922081193599,1.0347610897694275,,,,,,27.281390617790635,,17.99592297457368,20.383447761657873,8.607181744080195,20.12012114855751,-32.251349853307346,385.02997636333293,352.77862651002556
DEHHALKAJ000107hbt_0,947.62060546875,"(1979, 1983)",0.600735163515706,0.32935475274957987,10.014514077452324,456.76568218524915,19.14918227376279,1.4553990274920778,,,,,,36.096360488779226,,10.706483502116736,21.963421634244316,13.569339622789428,37.5950412374694,-42.19724300248887,597.3009099719033,555.1036669694143
DEHHALKAJ00010AW,669.5283203125,"(1949, 1957)",1.9099852957720984,1.047154841349496,31.840278035824575,136.00097629795636,2.060808169921875,0.3150180126357812,,,,,,25.419614408850283,,5.42317939453125,5.90870151459932,2.2233682567332975,0.08868302219154395,-25.827428029022755,177.4403490774197,151.61292104839697
DEHHALKAJ00010Em,1410.43359375,"(1958, 1968)",4.694188281753558,2.573602004332309,78.25414173312944,330.168603151729,6.425065409022802,0.976364194427007,,,,,,53.548259052785454,,16.277982640030434,17.752987665222264,7.056342214727504,4.647193826114721,-68.42119859976125,436.85279815405914,368.4315995542979
DEHHALKAJ00010CR,1537.02734375,"(1949, 1957)",4.3847280790033185,2.403939572777351,73.09530678377075,276.41287653980027,4.730970164062501,0.7231827011723481,,,,,,58.354502018350466,,12.449921484375,13.559420284048578,5.101277934136137,0.1440370702278465,-59.0734912025799,371.47618819617315,312.4026969935933
DEHHALKAJ00010DZbt_1,109.232421875,"(1979, 1983)",0.20774059714700455,0.11389437003984025,3.4631252853781667,87.16388107803657,2.382082624937561,0.18092961851479353,,,,,,4.369954228236092,,1.4766131003889718,2.985171763800795,1.4590497243089338,3.1398109578327795,-9.937973597509906,103.15749309605651,93.2195194985466
DEHHALKAJ00010CC,654.6484375,"(1949, 1957)",1.867536968326559,1.0238824257501828,31.13264612315305,119.00524150932733,2.0150078906249997,0.30801691802986636,,,,,,24.85460317996398,,5.302652343749999,5.775390476452289,2.1728314407544858,0.06347024088592892,-25.16827058004641,159.49721399978887,134.32894341974247
DEHHALKAJ000109u,1563.70703125,"(1949, 1957)",4.460838094479602,2.4456671040612803,74.36409354325005,276.09541350986603,4.8130902421875,0.735735690910065,,,,,,59.36741111210048,,12.666026953124998,13.794054597125111,5.189414420604974,0.13802867585852116,-60.0677122988787,372.79917520177764,312.73146290289895
DEHHALKAJ000106X,691.1787109375,"(1958, 1968)",2.3003727505198914,1.2611858677381078,38.34820515357909,168.9353576797091,3.2379594236205054,0.4924048222070786,,,,,,26.241449558030745,,8.20280360062659,8.947683664212247,3.54334133458027,2.413986504964132,-33.94425215088489,222.0149865879507,188.0707344370658
