building_name,net_leased_area ,building_age_group,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
DEHHALKA10000t7C,1350.308837890625,"(2002, 2009)",-9993.005569692994,68.64940834841846,782.1813858107284,264478.06406655,7055.621887114915,5189.5465961299815,-3888.889453125,,,,,41541.79137189576,,1377.9166814541184,6717.92927089542,8579.976775880814,22305.94212959591,-24221.36068788541,353357.89932639187,329136.53863850643
DEHHALKA10000t7F,1348.009033203125,"(2002, 2009)",-9975.985788435177,68.53248677708339,780.8491984124937,273333.73823179514,7061.082364173727,5213.054069492758,-3882.266015625,,,,,41471.04078262482,,1377.10248771323,6765.700441879391,9008.166962305097,22303.803130863154,-27253.69194402745,362651.4224552223,335397.73051119485
DEHHALKA10000t79,1348.662109375,"(2002, 2009)",-9980.818900416563,68.56568902796676,781.2275000356655,272420.4889784502,7047.958962235435,5184.960400322608,-3884.146875,,,,,41491.13234679828,,1376.3188509321035,6752.055440115757,9049.208880824039,22298.154693030567,-27206.400470871547,361736.131677709,334529.73120683746
DEHHALKA3Aw000Dnbt_1,603.001953125,"(1979, 1983)",,,,170752.19729078695,2805.248420626882,2189.3570230012374,-1356.75439453125,,,,,19038.162638170805,,501.69111212870064,2598.856572031809,-732.5055078140854,6031.334065224306,-8481.227120700325,201827.58721962533,193346.360098925
DEHHALKA3gi00005bt_1,759.09765625,"(1979, 1983)",,,,236619.34021027377,4498.115842336128,4545.194687352225,-1707.9697265625,,,,,24067.20721489894,,716.3321293097547,4215.835469309613,-3584.7820097097165,8532.76961525387,-10965.816596578627,277902.04343246203,266936.2268358834
DEHHALKA900014M0bt_1,852.228515625,"(1979, 1983)",,,,240808.82966435453,4015.2572374037,3187.8360104149183,-1917.5141601562498,,,,,26628.72838944408,,713.4797270416561,3721.463676906217,-1185.3186135186086,8572.848853099254,-11934.527740355024,284545.61078498955,272611.08304463455
DEHHALKA900014M0bt_2,4.0,"(1979, 1983)",,,,8843.450925682815,18.845918266224757,14.962353180951943,-9.0,,,,,190.90198427038217,,3.3487719031246472,21.780359009151066,44.74582479753074,42.469319029444065,-370.0756362832855,9171.505456139625,8801.42981985634
DEHHALKAJ000109w,1832.744140625,"(1949, 1957)",-101724.63082796232,698.8223585084468,7962.280432767215,77546.2728536544,4155.170197113332,1467.929168087203,-6397.777187025553,,,,,56383.765584343244,,1983.3109279779214,7770.290913164337,108178.21687420903,2623.585424392606,-60323.40882351449,253710.7647559165,193387.35593240202
DEHHALKAJ00010D9bt_1,1199.3701171875,"(1979, 1983)",,,,306552.896289542,6378.230184766444,5832.620934616914,-2698.582763671875,,,,,36910.52891752909,,1067.8935253304676,5920.657536414588,-3989.068332631583,12758.227071304997,-15032.576516386718,368733.403363201,353700.8268468143
DEHHALKAJ00010A0,590.72265625,"(1958, 1968)",-38295.10604578755,287.47678400954175,3750.1399568321913,2179.259103132483,730.9409865200994,392.71932886009233,-1594.951171875,,,,,18173.88505901121,,494.43486328125,1955.9699506357929,42176.8364679551,841.1059159864623,-20599.84300128538,65350.20050350749,44750.35750222211
DEHHALKAJ00010D6,620.953125,"(1969, 1978)",,,,147969.21307514826,3203.0407888481855,820.0528069377749,-4933.7746661891015,,,,,19103.83282985739,,1529.4701465186215,6315.161156252207,3637.6085757539076,5227.061943029625,-11965.955252902468,182871.66665615686,170905.7114032544
DEHHALKAJ00010Ax,810.3994140625,"(1949, 1957)",-44980.409098780176,309.0039778688869,3520.7464338777777,36850.03348880272,1912.3624512175388,665.038732413592,-2885.354805364279,,,,,24932.506635769438,,894.4599896629265,3505.41856322923,47945.57552633666,1265.5079212556793,-26825.01272377799,115085.5485033235,88260.53577954552
DEHHALKAJ000108c,718.572265625,"(1969, 1978)",,,,170972.43996237445,3701.8919632450397,946.4244793052013,-5700.794058251975,,,,,22106.988353416386,,1767.2461580581123,7297.199458000382,4192.614876610742,5998.232702127193,-13799.751448735062,211282.24389488553,197482.49244615046
DEHHALKAJ000107hbt_0,947.62060546875,"(1979, 1983)",,,,243885.56583527953,4781.766390552015,4655.735636583541,-1895.2412109374998,,,,,29395.432364910303,,776.499081903102,4465.585223336255,-3491.8507708738052,9260.511871377985,-11536.208368546331,291834.00442213134,280297.796053585
DEHHALKAJ00010AW,669.5283203125,"(1949, 1957)",-37161.4999076897,255.2900590528822,2908.737846074771,31918.49697763703,1616.5786034415546,557.2252036888051,-2411.3347996432644,,,,,20598.858194719985,,747.513787889412,2930.883158202115,39825.21613125909,1099.9264257801099,-22300.012445050954,96883.36368297483,74583.35123792387
DEHHALKAJ00010Em,1410.43359375,"(1958, 1968)",-89366.03926464412,663.0129101343066,8509.308732397814,6237.935860413532,1740.2612182409932,918.2439266917563,-3808.170703125,,,,,43391.51970072924,,1180.53291796875,4662.247490529229,97702.02440815784,1693.1178255227692,-48316.50341822239,153717.7126451291,105401.2092269067
DEHHALKAJ00010CR,1537.02734375,"(1949, 1957)",-85311.16572667522,586.0660250617727,6677.551149935924,69443.02437883805,3613.9202014344537,1258.5421922250148,-5462.5858000369935,,,,,47286.31613958308,,1693.4015980114682,6636.314066895586,90915.482618418,2381.76418513761,-50850.64438575081,217766.17958050626,166915.53519475544
DEHHALKAJ00010DZbt_1,109.232421875,"(1979, 1983)",,,,39042.12693752611,281.23169994742824,520.4873007048916,,,,,,3800.4035580768937,,24.661833668449216,293.0057001596512,-561.0868484808788,282.9814234928152,-1417.1537895017482,43683.81160509535,42266.6578155936
DEHHALKAJ00010CC,654.6484375,"(1949, 1957)",-36335.60689168544,249.61638394959445,2844.0928161801808,30233.495532306544,1558.4705088730673,540.1257042586602,-2341.073436352363,,,,,20140.919567538433,,725.7327652692325,2844.361579883743,38751.17926358279,1041.4596901608866,-21697.021120572215,93494.671175521,71797.65005494878
