building_name,net_leased_area ,building_age_group,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
DEHHALKA10000t7C,1350.308837890625,"(2002, 2009)",6.204057911233656e-13,2.274667899890622e-14,2.356790480835375e-11,2.713118782265643e-05,5.121297301283639e-09,3.1993131441757394e-08,,,,,,2.233169017911706e-09,,1.056150537780035e-09,8.472345500155266e-09,1.4706994240936183e-08,3.409064007526971e-09,-1.5039008999593103e-07,2.7198179974703783e-05,2.7047789884707853e-05
DEHHALKA10000t7F,1348.009033203125,"(2002, 2009)",6.193491349669809e-13,2.2707937551380433e-14,2.3527764674162316e-11,3.450682464368923e-05,5.154399280478868e-09,3.205086902108556e-08,,,,,,2.229365552906236e-09,,1.061637094249178e-09,8.525034842199003e-09,1.47678065670035e-08,3.4210038480126647e-09,-1.5097205618431953e-07,3.457403475989517e-05,3.442306270371085e-05
DEHHALKA10000t79,1348.662109375,"(2002, 2009)",6.196491939073555e-13,2.2718938970927303e-14,2.3539163279147677e-11,3.4437499246129046e-05,5.1173049522650265e-09,3.1960161117141836e-08,,,,,,2.2304456239422615e-09,,1.0552550198241638e-09,8.465636345071026e-09,1.4694108554848413e-08,3.40595973359216e-09,-1.5025837522969925e-07,3.4504428117475736e-05,3.435416974224604e-05
DEHHALKA3Aw000Dnbt_1,603.001953125,"(1979, 1983)",,,,1.588640457033525e-05,2.3602415777694646e-09,9.918691455574522e-09,,,,,,9.972851516172197e-10,,4.681218324557636e-10,3.873295706307269e-09,6.299335249421224e-09,1.47984791980394e-09,-6.296185658644683e-08,1.59118013892282e-05,1.584883953264175e-05
DEHHALKA3gi00005bt_1,759.09765625,"(1979, 1983)",,,,1.660138567095348e-05,5.284565546649697e-09,1.8693667956616357e-08,,,,,,1.2554524865616356e-09,,9.922609017263364e-10,8.587941357174168e-09,1.2653763729941608e-08,2.8386826788179224e-09,-1.2522725943877027e-07,1.665169200561097e-05,1.65264647461722e-05
DEHHALKA900014M0bt_1,852.228515625,"(1979, 1983)",,,,2.2086087904144716e-05,3.4567750181809606e-09,1.4342922653108139e-08,,,,,,1.4094568568618956e-09,,6.826819695299414e-10,5.66835923081565e-09,9.150025278381981e-09,2.1425274890942763e-09,-9.13892076615006e-08,2.2122940652640682e-05,2.203155144497918e-05
DEHHALKA900014M0bt_2,4.0,"(1979, 1983)",,,,9.85049552983436e-07,1.622463907181449e-11,6.731960918998093e-11,,,,,,6.619170437589528e-12,,3.2042202625866464e-12,2.660567074603709e-11,4.299348419851973e-11,1.0068516828943864e-11,-4.296630168230046e-10,9.852225882941715e-07,9.847929252773484e-07
DEHHALKAJ000109w,1832.744140625,"(1949, 1957)",6.3154723196549924e-12,2.315517096021179e-13,2.3991144599071787e-10,3.819987852222394e-05,5.904872386691225e-10,3.0455628770849344e-09,,,,,,3.0310306198332213e-09,,3.896246306898562e-10,1.516293235775407e-09,8.398104044818586e-09,5.541027936029866e-10,-8.608312098144206e-08,3.821740372766441e-05,3.8131320606682964e-05
DEHHALKAJ00010D9bt_1,1199.3701171875,"(1979, 1983)",,,,2.2966891140529556e-05,6.6056004795598374e-09,2.485626662541541e-08,,,,,,1.983544108053873e-09,,1.2639836618845925e-09,1.0770498427095303e-08,1.643141679448902e-08,3.749418100567326e-09,-1.6320010833456669e-07,2.3032551868726623e-05,2.2869351760392055e-05
DEHHALKAJ00010A0,590.72265625,"(1958, 1968)",5.509082555428116e-12,9.495767488099401e-14,1.246044554413923e-10,9.594683258981755e-06,1.4106466398354544e-10,1.7341820625216779e-09,,,,,,9.769495215251051e-10,,9.71325263671875e-11,3.7819547285221727e-10,2.095064231972994e-09,4.613720562232346e-12,-2.1945288245495643e-08,9.600110461181539e-06,9.578165172936044e-06
DEHHALKAJ00010D6,620.953125,"(1969, 1978)",,,,0.0002583323493372266,2.086447882511512e-05,2.5631413270364237e-08,,,,,,1.0269452987490717e-09,,3.0046687717091627e-10,2.0865194921573095e-05,7.958515403581327e-07,3.822964655323337e-10,3.124136544158151e-06,0.0003008852157461848,0.00030400935229034294
DEHHALKAJ00010Ax,810.3994140625,"(1949, 1957)",2.792563868533767e-12,1.0238710664912267e-13,1.0608359942237363e-10,1.7228037214619568e-05,2.671136889278981e-10,1.3744933392685317e-09,,,,,,1.3402555609382221e-09,,1.757181076466846e-10,6.838385752608124e-10,3.787437378429277e-09,2.665917717151571e-10,-3.880954758225119e-08,1.7235932663041755e-05,1.7197123115459503e-05
DEHHALKAJ000108c,718.572265625,"(1969, 1978)",,,,0.00029888848526881084,2.414455250252339e-05,2.959592741251555e-08,,,,,,1.1883898730008906e-09,,3.4717835814754527e-10,2.414537991572935e-05,9.209549249216032e-07,4.421194661678698e-10,3.6154090874650624e-06,0.000348130946227095,0.00035174635531456006
DEHHALKAJ000107hbt_0,947.62060546875,"(1979, 1983)",,,,1.7560434035673875e-05,5.362533943363502e-09,1.9397778351712572e-08,,,,,,1.567208666871482e-09,,1.0137088864919643e-09,8.724925738534447e-09,1.3017143785676964e-08,2.9383958028129083e-09,-1.2899238563189607e-07,1.761245573084934e-05,1.7483463345217444e-05
DEHHALKAJ00010AW,669.5283203125,"(1949, 1957)",2.307134684231884e-12,8.458923630361494e-14,8.764317064090104e-11,1.4397808222683019e-05,2.2361774413350384e-10,1.1491468527869298e-09,,,,,,1.1072800092951114e-09,,1.4685028929827484e-10,5.714947672053595e-10,3.165200264897525e-09,2.308039360191721e-10,-3.242204765392267e-08,1.4404402616546654e-05,1.437198056889273e-05
DEHHALKAJ00010Em,1410.43359375,"(1958, 1968)",1.184890136526789e-11,2.1908986852286802e-13,2.7975119968136864e-10,2.2881331964003246e-05,3.3660536102161096e-10,3.771372984846663e-09,,,,,,2.3326045981690417e-09,,2.319175958203125e-10,9.02924162332341e-10,5.001885289668839e-09,9.287321041652349e-12,-5.2253847383351574e-08,2.2893918561316144e-05,2.2841664713932792e-05
DEHHALKAJ00010CR,1537.02734375,"(1949, 1957)",5.296458697554847e-12,1.9419039529933825e-13,2.0120127212115047e-10,3.261628641132751e-05,5.055640827627876e-10,2.602040642824431e-09,,,,,,2.54196800198693e-09,,3.3267147522225294e-10,1.2946507176376513e-09,7.170427385919793e-09,5.018518994585398e-10,-7.347695868571319e-08,3.263123558553333e-05,3.2557758626847614e-05
DEHHALKAJ00010DZbt_1,109.232421875,"(1979, 1983)",,,,2.7527081839599184e-06,6.730036556614358e-10,1.8058682336613742e-09,,,,,,1.806760675172145e-10,,1.1722993900195637e-10,1.0799049075829612e-09,1.3744478523072335e-09,2.8392191272475643e-10,-1.337585311487365e-08,2.7582232365283755e-06,2.744847383413502e-06
DEHHALKAJ00010CC,654.6484375,"(1949, 1957)",2.255859939471272e-12,8.270928905536533e-14,8.569535145403848e-11,1.397823790287423e-05,2.168705151938883e-10,1.1153866386536756e-09,,,,,,1.0826713382642443e-09,,1.425713722738589e-10,5.548421810988604e-10,3.072981712348185e-09,2.1927972579661924e-10,-3.1486292383965007e-08,1.3984642506357858e-05,1.3953156213973892e-05
DEHHALKAJ000109u,1563.70703125,"(1949, 1957)",5.388394513454296e-12,1.9756114799489372e-13,2.0469371946544954e-10,3.283620355974906e-05,5.081596282835727e-10,2.6186229235268417e-09,,,,,,2.586091420970869e-09,,3.349160448379279e-10,1.3033854112874516e-09,7.218858993327392e-09,4.883844808904284e-10,-7.39862076316492e-08,3.285126197865218e-05,3.277727577102053e-05
