building_name,net_leased_area ,building_age_group,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
DEHHALKA10000t7C,1350.308837890625,"(2002, 2009)",-9993.005569692994,68.64940834841846,782.1813858107284,264478.06406655,7055.621887114915,5189.5465961299815,-3888.889453125,,,,,41541.79137189576,,1377.9166814541184,6717.92927089542,8579.976775880814,22305.94212959591,-24221.36068788541,353357.89932639187,329136.53863850643
DEHHALKA10000t7F,1348.009033203125,"(2002, 2009)",-9975.985788435177,68.53248677708339,780.8491984124937,273333.73823179514,7061.082364173727,5213.054069492758,-3882.266015625,,,,,41471.04078262482,,1377.10248771323,6765.700441879391,9008.166962305097,22303.803130863154,-27253.69194402745,362651.4224552223,335397.73051119485
DEHHALKA10000t79,1348.662109375,"(2002, 2009)",-9980.818900416563,68.56568902796676,781.2275000356655,272420.4889784502,7047.958962235435,5184.960400322608,-3884.146875,,,,,41491.13234679828,,1376.3188509321035,6752.055440115757,9049.208880824039,22298.154693030567,-27206.400470871547,361736.131677709,334529.73120683746
DEHHALKA3Aw000Dnbt_1,603.001953125,"(1979, 1983)",,,,170752.19729078695,2805.248420626882,2189.3570230012374,-1356.75439453125,,,,,19038.162638170805,,501.69111212870064,2598.856572031809,-732.5055078140854,6031.334065224306,-8481.227120700325,201827.58721962533,193346.360098925
DEHHALKA3gi00005bt_1,759.09765625,"(1979, 1983)",,,,236619.34021027377,4498.115842336128,4545.194687352225,-1707.9697265625,,,,,24067.20721489894,,716.3321293097547,4215.835469309613,-3584.7820097097165,8532.76961525387,-10965.816596578627,277902.04343246203,266936.2268358834
DEHHALKA900014M0bt_1,852.228515625,"(1979, 1983)",,,,240808.82966435453,4015.2572374037,3187.8360104149183,-1917.5141601562498,,,,,26628.72838944408,,713.4797270416561,3721.463676906217,-1185.3186135186086,8572.848853099254,-11934.527740355024,284545.61078498955,272611.08304463455
DEHHALKA900014M0bt_2,4.0,"(1979, 1983)",,,,8843.450925682815,18.845918266224757,14.962353180951943,-9.0,,,,,190.90198427038217,,3.3487719031246472,21.780359009151066,44.74582479753074,42.469319029444065,-370.0756362832855,9171.505456139625,8801.42981985634
DEHHALKAJ000109w,1832.744140625,"(1949, 1957)",-133046.7264478061,1052.7558561410744,14694.417406203465,61054.245748516536,3994.0832337608763,2412.9230931962593,-6443.595790541178,,,,,56383.774569555084,,2040.171400832215,8273.652483711006,141154.91328770705,1642.7079697541635,-68080.22741512205,270512.87599649205,202432.64858137
DEHHALKAJ00010D9bt_1,1199.3701171875,"(1979, 1983)",,,,306552.896289542,6378.230184766444,5832.620934616914,-2698.582763671875,,,,,36910.52891752909,,1067.8935253304676,5920.657536414588,-3989.068332631583,12758.227071304997,-15032.576516386718,368733.403363201,353700.8268468143
DEHHALKAJ00010A0,590.72265625,"(1958, 1968)",-32787.47032755613,225.24158758146325,2566.3699273634934,28181.66682730297,1152.0234934419916,491.09429255681584,-2501.3279446428724,,,,,18173.921261297604,,775.4116628392906,3053.3803237811258,35080.41403627109,1715.6916869613594,-21149.332255454443,86122.27563980938,64972.943384354934
DEHHALKAJ00010D6,620.953125,"(1969, 1978)",-5744.230377637772,39.46140268727583,449.617489539219,172352.51666724452,3194.7015280613145,809.6570276635405,-5197.090586759026,,,,,19103.866325474093,,1611.0980818952983,6635.457909493571,9585.523329873058,3853.0135866388173,-14403.993004472846,211948.74386958516,197544.75086511232
DEHHALKAJ00010Ax,810.3994140625,"(1949, 1957)",-58830.3554032735,465.50563717893067,6497.550308313152,30987.79265532494,1872.4698636617022,1150.5735450435755,-2905.6147907158415,,,,,24932.6293135387,,922.7592091726308,3759.6555300752634,62436.39391798638,847.362741557281,-30318.31452350616,124004.02198564463,93685.70746213847
DEHHALKAJ000108c,718.572265625,"(1969, 1978)",-6647.272508260786,45.665072599056906,520.3012032878027,198263.47723633505,3689.6643910841512,934.6639823349798,-5998.6409915245595,,,,,22107.024446715437,,1859.5787073726135,7659.525097164222,11071.462136035243,4430.2605410129745,-16621.52513424012,244017.01554653008,227395.49041228995
DEHHALKAJ000107hbt_0,947.62060546875,"(1979, 1983)",,,,243885.56583527953,4781.766390552015,4655.735636583541,-1895.2412109374998,,,,,29395.432364910303,,776.499081903102,4465.585223336255,-3491.8507708738052,9260.511871377985,-11536.208368546331,291834.00442213134,280297.796053585
DEHHALKAJ00010AW,669.5283203125,"(1949, 1957)",-48603.92092226188,384.5871578238491,5368.08624066375,31447.59190208296,1679.4222022808688,1165.267693718499,-2428.073007651077,,,,,20599.06427525039,,780.5445845961106,3237.7213759658825,51519.648164456186,802.090116707411,-25379.92065372564,108803.27730740723,83423.35665368159
DEHHALKAJ00010Em,1410.43359375,"(1958, 1968)",-78284.70622344864,537.7960341849993,6127.569886216326,58554.63845399278,2587.4769267122438,1116.1738173761323,-5631.795828983904,,,,,43391.5206845768,,1745.8567069850103,6870.231178962251,83424.0611604809,3452.779629077137,-49422.07280216866,195510.94272917937,146088.8699270107
DEHHALKAJ00010CR,1537.02734375,"(1949, 1957)",-111579.38089326928,882.8916711909202,12323.4448569065,58074.414500810286,3532.778547410395,2167.5859173570525,-5501.011483630744,,,,,47286.48296424398,,1746.5226685160487,7112.970344720001,118415.06625564024,1585.97354172762,-57465.05464599619,234420.78325679488,176955.7286107987
DEHHALKAJ00010DZbt_1,109.232421875,"(1979, 1983)",,,,39042.12693752611,281.23169994742824,520.4873007048916,,,,,,3800.4035580768937,,24.661833668449216,293.0057001596512,-561.0868484808788,282.9814234928152,-1417.1537895017482,43683.81160509535,42266.6578155936
DEHHALKAJ00010CC,654.6484375,"(1949, 1957)",-47523.72666369233,376.0399288777452,5248.783603620423,25758.00301151022,1531.9435535796854,944.6530823091518,-2357.439647289863,,,,,20141.022840763602,,749.1672147971537,3055.4943960504434,50440.49733173289,706.5107984048631,-24530.474518185176,100969.85258185815,76439.37806367298
