building_name,net_leased_area ,building_age_group,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
DEHHALKA10000t7C,1350.308837890625,"(2002, 2009)",6.204057911233656e-13,2.274667899890622e-14,2.356790480835375e-11,2.713118782265643e-05,5.121297301283639e-09,3.1993131441757394e-08,,,,,,2.233169017911706e-09,,1.056150537780035e-09,8.472345500155266e-09,1.4706994240936183e-08,3.409064007526971e-09,-1.5039008999593103e-07,2.7198179974703783e-05,2.7047789884707853e-05
DEHHALKA10000t7F,1348.009033203125,"(2002, 2009)",6.193491349669809e-13,2.2707937551380433e-14,2.3527764674162316e-11,3.450682464368923e-05,5.154399280478868e-09,3.205086902108556e-08,,,,,,2.229365552906236e-09,,1.061637094249178e-09,8.525034842199003e-09,1.47678065670035e-08,3.4210038480126647e-09,-1.5097205618431953e-07,3.457403475989517e-05,3.442306270371085e-05
DEHHALKA10000t79,1348.662109375,"(2002, 2009)",6.196491939073555e-13,2.2718938970927303e-14,2.3539163279147677e-11,3.4437499246129046e-05,5.1173049522650265e-09,3.1960161117141836e-08,,,,,,2.2304456239422615e-09,,1.0552550198241638e-09,8.465636345071026e-09,1.4694108554848413e-08,3.40595973359216e-09,-1.5025837522969925e-07,3.4504428117475736e-05,3.435416974224604e-05
DEHHALKA3Aw000Dnbt_1,603.001953125,"(1979, 1983)",,,,1.588640457033525e-05,2.3602415777694646e-09,9.918691455574522e-09,,,,,,9.972851516172197e-10,,4.681218324557636e-10,3.873295706307269e-09,6.299335249421224e-09,1.47984791980394e-09,-6.296185658644683e-08,1.59118013892282e-05,1.584883953264175e-05
DEHHALKA3gi00005bt_1,759.09765625,"(1979, 1983)",,,,1.660138567095348e-05,5.284565546649697e-09,1.8693667956616357e-08,,,,,,1.2554524865616356e-09,,9.922609017263364e-10,8.587941357174168e-09,1.2653763729941608e-08,2.8386826788179224e-09,-1.2522725943877027e-07,1.665169200561097e-05,1.65264647461722e-05
DEHHALKA900014M0bt_1,852.228515625,"(1979, 1983)",,,,2.2086087904144716e-05,3.4567750181809606e-09,1.4342922653108139e-08,,,,,,1.4094568568618956e-09,,6.826819695299414e-10,5.66835923081565e-09,9.150025278381981e-09,2.1425274890942763e-09,-9.13892076615006e-08,2.2122940652640682e-05,2.203155144497918e-05
DEHHALKA900014M0bt_2,4.0,"(1979, 1983)",,,,9.85049552983436e-07,1.622463907181449e-11,6.731960918998093e-11,,,,,,6.619170437589528e-12,,3.2042202625866464e-12,2.660567074603709e-11,4.299348419851973e-11,1.0068516828943864e-11,-4.296630168230046e-10,9.852225882941715e-07,9.847929252773484e-07
DEHHALKAJ000109w,1832.744140625,"(1949, 1957)",2.6069404068596242e-11,3.471398615453103e-13,5.087781903871609e-10,3.8649414223829596e-05,1.5951228477348615e-09,6.225010427613382e-09,,,,,,3.0310306203479803e-09,,5.951834834245863e-10,3.395005934493014e-09,1.0838885637376677e-08,7.811843602490725e-10,-1.1053607203319017e-07,3.8675875647140834e-05,3.8565339575107644e-05
DEHHALKAJ00010D9bt_1,1199.3701171875,"(1979, 1983)",,,,2.2966891140529556e-05,6.6056004795598374e-09,2.485626662541541e-08,,,,,,1.983544108053873e-09,,1.2639836618845925e-09,1.0770498427095303e-08,1.643141679448902e-08,3.749418100567326e-09,-1.6320010833456669e-07,2.3032551868726623e-05,2.2869351760392055e-05
DEHHALKAJ00010A0,590.72265625,"(1958, 1968)",2.035577417188037e-12,7.463280766989452e-14,7.732728398852539e-11,1.5078370538430012e-05,2.21465923405753e-10,3.143994041887806e-09,,,,,,9.769495235991195e-10,,1.5233087182875096e-10,5.931929036223485e-10,3.281430984296104e-09,9.413433068275519e-12,-3.41053596117432e-08,1.508674931611172e-05,1.5052643956499977e-05
DEHHALKAJ00010D6,620.953125,"(1969, 1978)",3.5662481792679687e-13,1.307536192035831e-14,1.3547423124430429e-11,0.000260210436621638,2.0864498855744882e-05,2.3944006253647624e-08,,,,,,1.026945300668022e-09,,3.165028167336247e-10,2.0865256992866696e-05,7.961971061018734e-07,3.3067779458004313e-10,3.121120511601076e-06,0.000302762007708517,0.0003058831282201181
DEHHALKAJ00010Ax,810.3994140625,"(1949, 1957)",1.1527320870301281e-11,1.5349766187118776e-13,2.249705991349822e-10,1.7439985699246086e-05,7.863317683184921e-10,3.0151932455056502e-09,,,,,,1.340255567966382e-09,,2.8161739219972343e-10,1.6527924359607304e-09,5.042611761809349e-09,4.032301256524989e-10,-5.135216033710201e-08,1.74525077315435e-05,1.7401155571206398e-05
DEHHALKAJ000108c,718.572265625,"(1969, 1978)",4.1268928857675295e-13,1.5130920613337315e-14,1.5677193874984507e-11,0.0003010106474515821,2.4144575098656798e-05,2.767807918545233e-08,,,,,,1.1883898750686612e-09,,3.653172363838457e-10,2.4145450125303862e-05,9.213458240272092e-07,3.8252858392044387e-10,3.6119981001868396e-06,0.0003502516328144508,0.00035386363091463764
DEHHALKAJ000107hbt_0,947.62060546875,"(1979, 1983)",,,,1.7560434035673875e-05,5.362533943363502e-09,1.9397778351712572e-08,,,,,,1.567208666871482e-09,,1.0137088864919643e-09,8.724925738534447e-09,1.3017143785676964e-08,2.9383958028129083e-09,-1.2899238563189607e-07,1.761245573084934e-05,1.7483463345217444e-05
DEHHALKAJ00010AW,669.5283203125,"(1949, 1957)",9.523535735677152e-12,1.2681528384790572e-13,1.8586413655393497e-10,1.461318808819794e-05,8.818395125889307e-10,3.222526725859089e-09,,,,,,1.1072800211013821e-09,,2.8021626746049697e-10,1.7946054665725155e-09,4.739990963341719e-09,4.5444585717019773e-10,-4.807348076514035e-08,1.4625668993012036e-05,1.4577595512246896e-05
DEHHALKAJ00010Em,1410.43359375,"(1958, 1968)",4.86022796231775e-12,1.7819634649149602e-13,1.8462978844120252e-10,3.3914480876917625e-05,4.983722566860789e-10,6.60790700199472e-09,,,,,,2.332604598225406e-09,,3.4297636598511977e-10,1.3354978210219972e-09,7.388848728077835e-09,1.8944316439041237e-11,-7.671984468379839e-08,3.393300602800605e-05,3.3856286183322255e-05
DEHHALKAJ00010CR,1537.02734375,"(1949, 1957)",2.1863055513594777e-11,2.91128176308765e-13,4.266858494836224e-10,3.3015970305983356e-05,1.477213915693609e-09,5.6727749014475826e-09,,,,,,2.5419680115442474e-09,,5.308989510941894e-10,3.1082234594363173e-09,9.520263787401707e-09,7.546686163067411e-10,-9.696309154518338e-08,3.303957631762628e-05,3.29426132260811e-05
DEHHALKAJ00010DZbt_1,109.232421875,"(1979, 1983)",,,,2.7527081839599184e-06,6.730036556614358e-10,1.8058682336613742e-09,,,,,,1.806760675172145e-10,,1.1722993900195637e-10,1.0799049075829612e-09,1.3744478523072335e-09,2.8392191272475643e-10,-1.337585311487365e-08,2.7582232365283755e-06,2.744847383413502e-06
DEHHALKAJ00010CC,654.6484375,"(1949, 1957)",9.311880617576413e-12,1.239968869179446e-13,1.81733412748737e-10,1.4151847594965897e-05,6.499370939172794e-10,2.4834622073449907e-09,,,,,,1.0826713441807258e-09,,2.3084666238053447e-10,1.3627096964855582e-09,4.1189142368636046e-09,3.3624566188107443e-10,-4.19329515478288e-08,1.4162112381868952e-05,1.4120179430321123e-05
DEHHALKAJ000109u,1563.70703125,"(1949, 1957)",2.2242553959910465e-11,2.961815729174503e-13,4.3409225326113815e-10,3.3229285913230696e-05,1.4196038664676315e-09,5.501324026622079e-09,,,,,,2.586091427373889e-09,,5.211622247333856e-10,3.006373514510272e-09,9.428687319522413e-09,7.083562556161856e-10,-9.610194361933466e-08,3.325245751186554e-05,3.3156355568246205e-05
