,B104_IV,B105_IV,B106_IV,B107_IV,B108_IV,B10_IV,B11_IV,B12_IV,B13_IV,B14_IV,B15_IV,B16_IV,B17_IV,B18_IV,B19_IV,B20_IV,B21_IV,B22_IV,B23_IV,B24_IV,B25_IV,B26_IV,B27_IV,B28_IV,B5_IV,B6_IV,B7_IV,B88_IV,B89_IV,B8_IV,B90_IV,B91_IV,B92_IV,B93_IV,B94_IV,B95_IV,B96_IV,B97_IV,B98_IV,B99_IV,B9_IV,B1_II,B29_III,B2_II,B30_III,B31_III,B32_III,B33_II,B34_II,B35_II,B36_II,B37_III,B38_III,B39_III,B3_II,B40_III,B41_II,B42_II,B43_II,B44_II,B45_I,B46_II,B47_II,B48_I,B49_III,B4_II,B50_III,B51_III,B52_III,B53_I,B54_II,B55_II,B56_I,B57_III,B58_III,B59_III,B60_III,B61_I,B62_I,B63_I,B64_I,B65_I,B66_I,B67_I,B68_I,B69_I,B70_I,B71_I,B72_I,B73_I,B74_I,B75_I,B76_I,B77_II,B78_II,B79_II,B80_II,B81_II,B82_II,B83_II,B84_II,B85_II,B86_II,B87_II
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,6329.244,6329.241,6329.241,6329.244,6329.241,6329.2466,6329.241,6329.2383,6329.2466,6329.244,6329.244,6329.241,6329.244,6329.244,6329.244,6329.2466,6329.244,6329.244,6329.241,6329.244,6329.241,6329.241,6329.244,6329.2383,6329.244,6329.241,6329.244,6329.2383,6329.2466,6329.244,6329.244,6329.244,6329.244,6329.2383,6329.2383,6329.244,6329.241,6329.241,6329.241,6329.241,6329.244,5195.5386,4334.684,5195.541,4334.6865,4334.6865,4334.684,5195.541,5195.5386,5195.541,5195.5366,4334.684,4334.684,4334.6865,5195.5366,4334.6865,5195.5386,5195.5366,5195.5386,5195.5366,5195.5386,5195.5386,5195.5386,5195.541,4334.684,5195.5386,4334.684,4334.6865,4334.6885,5195.541,5195.541,5195.5366,5195.5386,4334.6865,4334.684,4334.684,4334.6865,5195.5386,5195.5366,5195.5366,5195.5386,5195.5366,5195.541,5195.5386,5195.5386,5195.5366,5195.541,5195.5386,5195.541,5195.5386,5195.541,5195.5366,5195.5347,5195.5386,5195.5386,5195.541,5195.541,5195.5386,5195.5386,5195.5366,5195.543,5195.5386,5195.541,5195.541
2,6329.244,6329.241,6329.241,6329.244,6329.241,6329.2466,6329.241,6329.2383,6329.2466,6329.244,6329.244,6329.241,6329.244,6329.244,6329.244,6329.2466,6329.244,6329.244,6329.241,6329.244,6329.241,6329.241,6329.244,6329.2383,6329.244,6329.241,6329.244,6329.2383,6329.2466,6329.244,6329.244,6329.244,6329.244,6329.2383,6329.2383,6329.244,6329.241,6329.241,6329.241,6329.241,6329.244,5195.5386,4334.684,5195.541,4334.6865,4334.6865,4334.684,5195.541,5195.5386,5195.541,5195.5366,4334.684,4334.684,4334.6865,5195.5366,4334.6865,5195.5386,5195.5366,5195.5386,5195.5366,5195.5386,5195.5386,5195.5386,5195.541,4334.684,5195.5386,4334.684,4334.6865,4334.6885,5195.541,5195.541,5195.5366,5195.5386,4334.6865,4334.684,4334.684,4334.6865,5195.5386,5195.5366,5195.5366,5195.5386,5195.5366,5195.541,5195.5386,5195.5386,5195.5366,5195.541,5195.5386,5195.541,5195.5386,5195.541,5195.5366,5195.5347,5195.5386,5195.5386,5195.541,5195.541,5195.5386,5195.5386,5195.5366,5195.543,5195.5386,5195.541,5195.541
3,6329.244,6329.241,6329.241,6329.244,6329.241,6329.2466,6329.241,6329.2383,6329.2466,6329.244,6329.244,6329.241,6329.244,6329.244,6329.244,6329.2466,6329.244,6329.244,6329.241,6329.244,6329.241,6329.241,6329.244,6329.2383,6329.244,6329.241,6329.244,6329.2383,6329.2466,6329.244,6329.244,6329.244,6329.244,6329.2383,6329.2383,6329.244,6329.241,6329.241,6329.241,6329.241,6329.244,5195.5386,4334.684,5195.541,4334.6865,4334.6865,4334.684,5195.541,5195.5386,5195.541,5195.5366,4334.684,4334.684,4334.6865,5195.5366,4334.6865,5195.5386,5195.5366,5195.5386,5195.5366,5195.5386,5195.5386,5195.5386,5195.541,4334.684,5195.5386,4334.684,4334.6865,4334.6885,5195.541,5195.541,5195.5366,5195.5386,4334.6865,4334.684,4334.684,4334.6865,5195.5386,5195.5366,5195.5366,5195.5386,5195.5366,5195.541,5195.5386,5195.5386,5195.5366,5195.541,5195.5386,5195.541,5195.5386,5195.541,5195.5366,5195.5347,5195.5386,5195.5386,5195.541,5195.541,5195.5386,5195.5386,5195.5366,5195.543,5195.5386,5195.541,5195.541
4,6329.244,6329.241,6329.241,6329.244,6329.241,6329.2466,6329.241,6329.2383,6329.2466,6329.244,6329.244,6329.241,6329.244,6329.244,6329.244,6329.2466,6329.244,6329.244,6329.241,6329.244,6329.241,6329.241,6329.244,6329.2383,6329.244,6329.241,6329.244,6329.2383,6329.2466,6329.244,6329.244,6329.244,6329.244,6329.2383,6329.2383,6329.244,6329.241,6329.241,6329.241,6329.241,6329.244,5195.5386,4334.684,5195.541,4334.6865,4334.6865,4334.684,5195.541,5195.5386,5195.541,5195.5366,4334.684,4334.684,4334.6865,5195.5366,4334.6865,5195.5386,5195.5366,5195.5386,5195.5366,5195.5386,5195.5386,5195.5386,5195.541,4334.684,5195.5386,4334.684,4334.6865,4334.6885,5195.541,5195.541,5195.5366,5195.5386,4334.6865,4334.684,4334.684,4334.6865,5195.5386,5195.5366,5195.5366,5195.5386,5195.5366,5195.541,5195.5386,5195.5386,5195.5366,5195.541,5195.5386,5195.541,5195.5386,5195.541,5195.5366,5195.5347,5195.5386,5195.5386,5195.541,5195.541,5195.5386,5195.5386,5195.5366,5195.543,5195.5386,5195.541,5195.541
5,6329.244,6329.241,6329.241,6329.244,6329.241,6329.2466,6329.241,6329.2383,6329.2466,6329.244,6329.244,6329.241,6329.244,6329.244,6329.244,6329.2466,6329.244,6329.244,6329.241,6329.244,6329.241,6329.241,6329.244,6329.2383,6329.244,6329.241,6329.244,6329.2383,6329.2466,6329.244,6329.244,6329.244,6329.244,6329.2383,6329.2383,6329.244,6329.241,6329.241,6329.241,6329.241,6329.244,5195.5386,4334.684,5195.541,4334.6865,4334.6865,4334.684,5195.541,5195.5386,5195.541,5195.5366,4334.684,4334.684,4334.6865,5195.5366,4334.6865,5195.5386,5195.5366,5195.5386,5195.5366,5195.5386,5195.5386,5195.5386,5195.541,4334.684,5195.5386,4334.684,4334.6865,4334.6885,5195.541,5195.541,5195.5366,5195.5386,4334.6865,4334.684,4334.684,4334.6865,5195.5386,5195.5366,5195.5366,5195.5386,5195.5366,5195.541,5195.5386,5195.5386,5195.5366,5195.541,5195.5386,5195.541,5195.5386,5195.541,5195.5366,5195.5347,5195.5386,5195.5386,5195.541,5195.541,5195.5386,5195.5386,5195.5366,5195.543,5195.5386,5195.541,5195.541
6,6329.244,6329.241,6329.241,6329.244,6329.241,6329.2466,6329.241,6329.2383,6329.2466,6329.244,6329.244,6329.241,6329.244,6329.244,6329.244,6329.2466,6329.244,6329.244,6329.241,6329.244,6329.241,6329.241,6329.244,6329.2383,6329.244,6329.241,6329.244,6329.2383,6329.2466,6329.244,6329.244,6329.244,6329.244,6329.2383,6329.2383,6329.244,6329.241,6329.241,6329.241,6329.241,6329.244,5195.5386,4334.684,5195.541,4334.6865,4334.6865,4334.684,5195.541,5195.5386,5195.541,5195.5366,4334.684,4334.684,4334.6865,5195.5366,4334.6865,5195.5386,5195.5366,5195.5386,5195.5366,5195.5386,5195.5386,5195.5386,5195.541,4334.684,5195.5386,4334.684,4334.6865,4334.6885,5195.541,5195.541,5195.5366,5195.5386,4334.6865,4334.684,4334.684,4334.6865,5195.5386,5195.5366,5195.5366,5195.5386,5195.5366,5195.541,5195.5386,5195.5386,5195.5366,5195.541,5195.5386,5195.541,5195.5386,5195.541,5195.5366,5195.5347,5195.5386,5195.5386,5195.541,5195.541,5195.5386,5195.5386,5195.5366,5195.543,5195.5386,5195.541,5195.541
7,6329.244,6329.241,6329.241,6329.244,6329.241,6329.2466,6329.241,6329.2383,6329.2466,6329.244,6329.244,6329.241,6329.244,6329.244,6329.244,6329.2466,6329.244,6329.244,6329.241,6329.244,6329.241,6329.241,6329.244,6329.2383,6329.244,6329.241,6329.244,6329.2383,6329.2466,6329.244,6329.244,6329.244,6329.244,6329.2383,6329.2383,6329.244,6329.241,6329.241,6329.241,6329.241,6329.244,5195.5386,4334.684,5195.541,4334.6865,4334.6865,4334.684,5195.541,5195.5386,5195.541,5195.5366,4334.684,4334.684,4334.6865,5195.5366,4334.6865,5195.5386,5195.5366,5195.5386,5195.5366,5195.5386,5195.5386,5195.5386,5195.541,4334.684,5195.5386,4334.684,4334.6865,4334.6885,5195.541,5195.541,5195.5366,5195.5386,4334.6865,4334.684,4334.684,4334.6865,5195.5386,5195.5366,5195.5366,5195.5386,5195.5366,5195.541,5195.5386,5195.5386,5195.5366,5195.541,5195.5386,5195.541,5195.5386,5195.541,5195.5366,5195.5347,5195.5386,5195.5386,5195.541,5195.541,5195.5386,5195.5386,5195.5366,5195.543,5195.5386,5195.541,5195.541
8,6329.244,6329.241,6329.241,6329.244,6329.241,6329.2466,6329.241,6329.2383,6329.2466,6329.244,6329.244,6329.241,6329.244,6329.244,6329.244,6329.2466,6329.244,6329.244,6329.241,6329.244,6329.241,6329.241,6329.244,6329.2383,6329.244,6329.241,6329.244,6329.2383,6329.2466,6329.244,6329.244,6329.244,6329.244,6329.2383,6329.2383,6329.244,6329.241,6329.241,6329.241,6329.241,6329.244,5195.5386,4334.684,5195.541,4334.6865,4334.6865,4334.684,5195.541,5195.5386,5195.541,5195.5366,4334.684,4334.684,4334.6865,5195.5366,4334.6865,5195.5386,5195.5366,5195.5386,5195.5366,5195.5386,5195.5386,5195.5386,5195.541,4334.684,5195.5386,4334.684,4334.6865,4334.6885,5195.541,5195.541,5195.5366,5195.5386,4334.6865,4334.684,4334.684,4334.6865,5195.5386,5195.5366,5195.5366,5195.5386,5195.5366,5195.541,5195.5386,5195.5386,5195.5366,5195.541,5195.5386,5195.541,5195.5386,5195.541,5195.5366,5195.5347,5195.5386,5195.5386,5195.541,5195.541,5195.5386,5195.5386,5195.5366,5195.543,5195.5386,5195.541,5195.541
9,6329.244,6329.241,6329.241,6329.244,6329.241,6329.2466,6329.241,6329.2383,6329.2466,6329.244,6329.244,6329.241,6329.244,6329.244,6329.244,6329.2466,6329.244,6329.244,6329.241,6329.244,6329.241,6329.241,6329.244,6329.2383,6329.244,6329.241,6329.244,6329.2383,6329.2466,6329.244,6329.244,6329.244,6329.244,6329.2383,6329.2383,6329.244,6329.241,6329.241,6329.241,6329.241,6329.244,5195.5386,4334.684,5195.541,4334.6865,4334.6865,4334.684,5195.541,5195.5386,5195.541,5195.5366,4334.684,4334.684,4334.6865,5195.5366,4334.6865,5195.5386,5195.5366,5195.5386,5195.5366,5195.5386,5195.5386,5195.5386,5195.541,4334.684,5195.5386,4334.684,4334.6865,4334.6885,5195.541,5195.541,5195.5366,5195.5386,4334.6865,4334.684,4334.684,4334.6865,5195.5386,5195.5366,5195.5366,5195.5386,5195.5366,5195.541,5195.5386,5195.5386,5195.5366,5195.541,5195.5386,5195.541,5195.5386,5195.541,5195.5366,5195.5347,5195.5386,5195.5386,5195.541,5195.541,5195.5386,5195.5386,5195.5366,5195.543,5195.5386,5195.541,5195.541
