,DENW22AL500001kE,DENW22AL500004Jb,DENW22AL500004f1,DENW22AL500005uS,DENW22AL500007ob,DENW22AL500004GF,DENW22AL500002aX,DENW22AL500001hd,DENW22AL500001we,DENW22AL5000068N,DENW22AL500005Zn,DENW22AL500001iI,DENW22AL500002BQ,DENW22AL5000073u,DENW22AL50000410,DENW22AL500005TX,DENW22AL500005XX,DENW22AL500004bI,DENW22AL500006Wm,DENW22AL500005me,DENW22AL500004CU,DENW22AL500004Wb,DENW22AL500004OX,DENW22AL500003NE,DENW22AL500002YL,DENW22AL500004ep,DENW22AL500002f4,DENW22AL500002jG,DENW22AL500002dC,DENW22AL500003px,DENW22AL500007Sg,DENW22AL5000057K,DENW22AL500007ZP,DENW22AL500006cd,DENW22AL500007Kk,DENW22AL500006aD,DENW22AL50000634,DENW22AL500004qQ,DENW22AL500002OO,DENW22AL500004H8,DENW22AL5000041y,DENW22AL500006iK,DENW22AL5000040G,DENW22AL500006C2,DENW22AL500005Bb,DENW22AL500002xT,DENW22AL500005eo,DENW22AL500001oX,DENW22AL500006cn,DENW22AL500004O7,DENW22AL500003Ow,DENW22AL500005OP,DENW22AL50000420,DENW22AL500006lM,DENW22AL500002CN,DENW22AL5000074e,DENW22AL500005Ad,DENW22AL500002Gn,DENW22AL500003aZ,DENW22AL500003vH,DENW22AL500005Pf,DENW22AL500006Mm,DENW22AL500002YB,DENW22AL50000382,DENW22AL500002ME,DENW22AL500002ZE,DENW22AL500003S8,DENW22AL500003Bt,DENW22AL500007mb,DENW22AL500003rT,DENW22AL500005Ga,DENW22AL500005jP,DENW22AL500003J7,DENW22AL500006Ym,DENW22AL500005cA,DENW22AL500002l9,DENW22AL500007na,DENW22AL500007cm,DENW22AL500003jw,DENW22AL500002zS,DENW22AL500007q1,DENW22AL500004zz,DENW22AL500003Ke,DENW22AL500002vU,DENW22AL500004FJ,DENW22AL500005su,DENW22AL500003gx,DENW22AL500006sN,DENW22AL500002i7,DENW22AL500003FA,DENW22AL500004hR,DENW22AL500002rx,DENW22AL500006Lm,DENW22AL500006XU,DENW22AL500003ob,DENW22AL500003CX,DENW22AL500005XJ,DENW22AL500004UX,DENW22AL500006mP,DENW22AL500006NM,DENW22AL5000028q,DENW22AL500005zL,DENW22AL500006cf,DENW22AL500002jA,DENW22AL500007jC,DENW22AL5000076C,DENW22AL500006jN,DENW22AL500006dx,DENW22AL500003tx,DENW22AL500003Tb,DENW22AL500006hB,DENW22AL500004oX
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,22066.854,22419.492,15212.465,15161.033,15460.766,23442.678,23694.842,24237.969,26271.45,23290.504,23066.918,23437.885,23310.643,22685.768,22808.453,22815.902,28565.006,28887.31,23341.406,28860.422,29176.64,29434.723,28130.91,28537.771,15749.722,18870.854,15389.572,19102.217,15841.864,17876.236,25254.29,25506.355,15774.992,12220.126,28407.484,28119.627,30047.195,29890.695,29851.432,20977.781,21254.752,21193.137,21639.738,28201.9,27904.16,20540.934,20319.02,21829.602,21351.25,21224.85,20973.924,22487.701,22696.723,24222.3,21120.06,20522.096,20771.756,21423.916,21224.738,26593.729,29703.828,26370.879,28888.664,29037.645,23730.326,24766.986,28440.2,25173.834,26406.07,26595.186,28152.195,26423.162,26607.64,26651.207,23549.934,23394.74,23290.844,29749.088,25224.656,25657.646,28389.633,25652.61,26103.648,26227.045,20821.963,20826.45,28527.94,22416.223,20152.967,24883.668,25026.773,24234.96,24222.3,27913.229,28994.277,28129.885,28123.783,28226.434,23198.613,28026.459,28350.799,27892.209,29125.533,28302.299,30157.926,28993.363,29986.652,28113.346,30083.602,28329.729,29369.691,28130.91
2,22066.854,22419.492,15212.465,15161.033,15460.766,23442.678,23694.842,24237.969,27219.84,23290.504,23066.918,23437.885,23310.643,22685.768,22808.453,22815.902,36518.914,37867.152,23341.406,43887.418,48698.96,49140.22,46264.637,42226.555,15749.722,18870.854,15389.572,19102.217,15841.864,17876.236,26383.193,26804.01,15774.992,12367.914,33529.215,32531.71,44291.55,43474.082,42660.18,20977.781,21254.752,21193.137,21639.738,34008.14,33326.117,20540.934,20319.02,21829.602,21351.25,21224.85,20973.924,22487.701,22696.723,24222.3,21120.06,20522.096,20771.756,21423.916,21224.738,26671.43,40381.55,26370.879,31136.268,31697.795,23730.326,24766.986,35208.098,25173.834,26406.07,26711.922,33795.29,26423.162,27059.154,26953.959,23549.934,23394.74,23290.844,40710.938,25224.656,25657.646,34275.88,25652.61,26103.648,26227.045,20821.963,20826.45,36266.574,22416.223,20152.967,24883.668,25026.773,25341.69,24222.3,32613.734,36113.668,41086.996,39796.08,29752.531,23198.613,46430.504,34673.734,33189.03,39116.273,46876.11,42026.53,38685.203,40532.11,46793.367,34017.605,29973.29,37065.984,46264.637
3,22066.854,22419.492,15212.465,15161.033,15460.766,23442.678,23694.842,24237.969,27219.84,23290.504,23066.918,23437.885,23310.643,22685.768,22808.453,22815.902,36518.914,37867.152,23341.406,43887.418,53030.492,53505.688,47501.008,42226.555,15749.722,18870.854,15389.572,19102.217,15841.864,17876.236,26383.193,26804.01,15774.992,12355.877,33529.215,32531.71,44291.55,43474.082,42660.18,20977.781,21254.752,21193.137,21639.738,34008.14,33326.117,20540.934,20319.02,21829.602,21351.25,21224.85,20973.924,22487.701,22696.723,24222.3,21120.06,20522.096,20771.756,21423.916,21224.738,26671.43,40381.55,26370.879,31136.268,31697.795,23730.326,24766.986,35208.098,25173.834,26406.07,26711.922,33795.29,26423.162,27059.154,26953.959,23549.934,23394.74,23290.844,40710.938,25224.656,25657.646,34275.88,25652.61,26103.648,26227.045,20821.963,20826.45,36266.574,22416.223,20152.967,24883.668,25026.773,25341.69,24222.3,32613.734,36113.668,41086.996,39796.08,29752.531,23198.613,48214.453,34673.734,33189.03,39116.273,48882.965,42026.53,38685.203,40532.11,50372.887,34017.605,29973.29,37065.984,47501.008
4,22066.854,22419.492,15212.465,15161.033,15460.766,23442.678,23694.842,24237.969,27219.84,23290.504,23066.918,23437.885,23310.643,22685.768,22808.453,22815.902,36518.914,37867.152,23341.406,43887.418,53030.492,53505.688,47501.008,42226.555,15749.722,18870.854,15389.572,19102.217,15841.864,17876.236,26383.193,26804.01,15774.992,12326.194,33529.215,32531.71,44291.55,43474.082,42660.18,20977.781,21254.752,21193.137,21639.738,34008.14,33326.117,20540.934,20319.02,21829.602,21351.25,21224.85,20973.924,22487.701,22696.723,24222.3,21120.06,20522.096,20771.756,21423.916,21224.738,26671.43,40381.55,26370.879,31136.268,31697.795,23730.326,24766.986,35208.098,25173.834,26406.07,26711.922,33795.29,26423.162,27059.154,26953.959,23549.934,23394.74,23290.844,40710.938,25224.656,25657.646,34275.88,25652.61,26103.648,26227.045,20821.963,20826.45,36266.574,22416.223,20152.967,24883.668,25026.773,25341.69,24222.3,32613.734,36113.668,41086.996,39796.08,29752.531,23198.613,48214.453,34673.734,33189.03,39116.273,48882.965,42026.53,38685.203,40532.11,50372.887,34017.605,29973.29,37065.984,47501.008
5,22066.854,22419.492,15212.465,15161.033,15460.766,23442.678,23694.842,24237.969,27219.84,23290.504,23066.918,23437.885,23310.643,22685.768,22808.453,22815.902,36518.914,37867.152,23341.406,43887.418,53030.492,53505.688,47501.008,42226.555,15749.722,18870.854,15389.572,19102.217,15841.864,17876.236,26383.193,26804.01,15774.992,12285.08,33529.215,32531.71,44291.55,43474.082,42660.18,20977.781,21254.752,21193.137,21639.738,34008.14,33326.117,20540.934,20319.02,21829.602,21351.25,21224.85,20973.924,22487.701,22696.723,24222.3,21120.06,20522.096,20771.756,21423.916,21224.738,26671.43,40381.55,26370.879,31136.268,31697.795,23730.326,24766.986,35208.098,25173.834,26406.07,26711.922,33795.29,26423.162,27059.154,26953.959,23549.934,23394.74,23290.844,40710.938,25224.656,25657.646,34275.88,25652.61,26103.648,26227.045,20821.963,20826.45,36266.574,22416.223,20152.967,24883.668,25026.773,25341.69,24222.3,32613.734,36113.668,41086.996,39796.08,29752.531,23198.613,48214.453,34673.734,33189.03,39116.273,48882.965,42026.53,38685.203,40532.11,50372.887,34017.605,29973.29,37065.984,47501.008
6,22066.854,22419.492,15212.465,15161.033,15460.766,23442.678,23694.842,24237.969,27219.84,23290.504,23066.918,23437.885,23310.643,22685.768,22808.453,22815.902,36518.914,37867.152,23341.406,43887.418,53030.492,53505.688,47501.008,42226.555,15749.722,18870.854,15389.572,19102.217,15841.864,17876.236,26383.193,26804.01,15774.992,12254.942,33529.215,32531.71,44291.55,43474.082,42660.18,20977.781,21254.752,21193.137,21639.738,34008.14,33326.117,20540.934,20319.02,21829.602,21351.25,21224.85,20973.924,22487.701,22696.723,24222.3,21120.06,20522.096,20771.756,21423.916,21224.738,26671.43,40381.55,26370.879,31136.268,31697.795,23730.326,24766.986,35208.098,25173.834,26406.07,26711.922,33795.29,26423.162,27059.154,26953.959,23549.934,23394.74,23290.844,40710.938,25224.656,25657.646,34275.88,25652.61,26103.648,26227.045,20821.963,20826.45,36266.574,22416.223,20152.967,24883.668,25026.773,25341.69,24222.3,32613.734,36113.668,41086.996,39796.08,29752.531,23198.613,48214.453,34673.734,33189.03,39116.273,48882.965,42026.53,38685.203,40532.11,50372.887,34017.605,29973.29,37065.984,47501.008
7,22066.854,22419.492,15212.465,15161.033,15460.766,23442.678,23694.842,24237.969,27219.84,23290.504,23066.918,23437.885,23310.643,22685.768,22808.453,22815.902,36518.914,37867.152,23341.406,43887.418,53030.492,53505.688,47501.008,42226.555,15749.722,18870.854,15389.572,19102.217,15841.864,17876.236,26383.193,26804.01,15774.992,12249.288,33529.215,32531.71,44291.55,43474.082,42660.18,20977.781,21254.752,21193.137,21639.738,34008.14,33326.117,20540.934,20319.02,21829.602,21351.25,21224.85,20973.924,22487.701,22696.723,24222.3,21120.06,20522.096,20771.756,21423.916,21224.738,26671.43,40381.55,26370.879,31136.268,31697.795,23730.326,24766.986,35208.098,25173.834,26406.07,26711.922,33795.29,26423.162,27059.154,26953.959,23549.934,23394.74,23290.844,40710.938,25224.656,25657.646,34275.88,25652.61,26103.648,26227.045,20821.963,20826.45,36266.574,22416.223,20152.967,24883.668,25026.773,25341.69,24222.3,32613.734,36113.668,41086.996,39796.08,29752.531,23198.613,48214.453,34673.734,33189.03,39116.273,48882.965,42026.53,38685.203,40532.11,50372.887,34017.605,29973.29,37065.984,47501.008
8,22066.854,22419.492,15212.465,15161.033,15460.766,23442.678,23694.842,24237.969,27219.84,23290.504,23066.918,23437.885,23310.643,22685.768,22808.453,22815.902,36518.914,37867.152,23341.406,43662.57,52813.79,53347.004,47356.79,42084.832,15749.722,18870.854,15389.572,19102.217,15841.864,17876.236,26383.193,26804.01,15774.992,12185.477,33529.215,32531.71,44291.55,43474.082,42660.18,20977.781,21254.752,21193.137,21639.738,34008.14,33326.117,20540.934,20319.02,21829.602,21351.25,21224.85,20973.924,22487.701,22696.723,24222.3,21120.06,20522.096,20771.756,21423.916,21224.738,26671.43,40381.55,26370.879,31136.268,31697.795,23730.326,24766.986,35208.098,25173.834,26406.07,26711.922,33795.29,26423.162,27059.154,26953.959,23549.934,23394.74,23290.844,40710.938,25224.656,25657.646,34275.88,25652.61,26103.648,26227.045,20821.963,20826.45,36266.574,22416.223,20152.967,24883.668,25026.773,25341.69,24222.3,32613.734,36113.668,41032.043,39796.08,29752.531,23198.613,48051.203,34673.734,33189.03,39116.273,48737.26,42026.53,38685.203,40532.11,49957.703,34017.605,29973.29,37065.984,47356.79
9,22066.854,22419.492,15212.465,15161.033,15460.766,23442.678,23694.842,24237.969,27219.84,23290.504,23066.918,23437.885,23310.643,22685.768,22808.453,22815.902,36201.477,37236.94,23341.406,41969.324,51163.457,51830.777,45974.62,40588.316,15749.722,18870.854,15389.572,19102.217,15841.864,17876.236,25668.38,26187.951,15774.992,12061.975,33529.215,32531.71,44291.55,43474.082,42660.18,20977.781,21254.752,21193.137,21639.738,33708.977,32885.21,20540.934,20319.02,21829.602,21351.25,21224.85,20973.924,22487.701,22696.723,24222.3,21120.06,20522.096,20771.756,21423.916,21224.738,26671.43,40355.895,26370.879,31136.268,31697.795,23730.326,24766.986,35169.254,25173.834,26406.07,26711.922,33795.29,26423.162,27059.154,26953.959,23549.934,23394.74,23290.844,40709.938,25224.656,25657.646,34275.88,25652.61,26103.648,26227.045,20821.963,20826.45,36266.574,22416.223,20152.967,24883.668,25026.773,25147.438,24222.3,32613.734,36113.668,39858.36,39194.285,29752.531,23198.613,46630.92,34673.734,33189.03,39057.758,47346.76,42018.28,38627.234,40532.11,47975.812,34017.605,29973.29,37065.984,45974.62
