"building_archetype_id","building_type_name","building_adjacency_name","region_name","municipality_size_name","municipality_growth_name","age_class_name","energy_system_name","exterior_wall_construction_type","construction_type","usage","storeys_above_ground","storey_height","net_leased_area","rotation","weather_station","statistic_selector","project_name","run_key"
25,"ab",NULL,"south","nan","nan","1919-1948","blt20-120kw-g","massive","hub4lca_ab_x_south_x_x_massive_blt20-120kw-g","apartment_block",5,"2.5","1906",45,"South_Urban",NULL,"p_1","p_1_1"
25,"ab",NULL,"south","nan","nan","1919-1948","blt20-120kw-g","massive","hub4lca_ab_x_south_x_x_massive_blt20-120kw-g","apartment_block",6,"2.8","1622",0,"South_Urban",NULL,"p_1","p_1_2"
25,"ab",NULL,"south","nan","nan","1919-1948","blt20-120kw-g","massive","hub4lca_ab_x_south_x_x_massive_blt20-120kw-g","apartment_block",6,"2.8","1887",0,"South_Urban",NULL,"p_1","p_1_3"
25,"ab",NULL,"south","nan","nan","1919-1948","blt20-120kw-g","massive","hub4lca_ab_x_south_x_x_massive_blt20-120kw-g","apartment_block",6,"2.5","1968",45,"South_Urban",NULL,"p_1","p_1_4"
25,"ab",NULL,"south","nan","nan","1919-1948","blt20-120kw-g","massive","hub4lca_ab_x_south_x_x_massive_blt20-120kw-g","apartment_block",7,"2.6","668",180,"South_Urban",NULL,"p_2","p_2_1"
26,"ab",NULL,"south","nan","nan","1949-1957","blt20-120kw-g","massive-double","hub4lca_ab_x_south_x_x_massive-double_blt20-120kw-g","apartment_block",4,"2.9","1892",90,"South_Urban",NULL,"p_2","p_2_2"
26,"ab",NULL,"south","nan","nan","1949-1957","blt20-120kw-g","massive-double","hub4lca_ab_x_south_x_x_massive-double_blt20-120kw-g","apartment_block",4,"2.7","1091",135,"South_Urban",NULL,"p_2","p_2_3"
26,"ab",NULL,"south","nan","nan","1949-1957","blt20-120kw-g","massive-double","hub4lca_ab_x_south_x_x_massive-double_blt20-120kw-g","apartment_block",5,"2.7","588",180,"South_Urban",NULL,"p_2","p_2_4"
26,"ab",NULL,"south","nan","nan","1949-1957","blt20-120kw-g","massive-double","hub4lca_ab_x_south_x_x_massive-double_blt20-120kw-g","apartment_block",7,"2.8","1996",90,"South_Urban",NULL,"p_3","p_3_1"
26,"ab",NULL,"south","nan","nan","1949-1957","blt20-120kw-g","massive-double","hub4lca_ab_x_south_x_x_massive-double_blt20-120kw-g","apartment_block",6,"2.9","1786",180,"South_Urban",NULL,"p_3","p_3_2"
27,"ab",NULL,"south","nan","nan","1949-1957","blt20-120kw-g","massive-monolithic","hub4lca_ab_x_south_x_x_massive-monolithic_blt20-120kw-g","apartment_block",4,"2.6","919",135,"South_Urban",NULL,"p_3","p_3_3"
27,"ab",NULL,"south","nan","nan","1949-1957","blt20-120kw-g","massive-monolithic","hub4lca_ab_x_south_x_x_massive-monolithic_blt20-120kw-g","apartment_block",5,"2.6","1427",180,"South_Urban",NULL,"p_3","p_3_4"
27,"ab",NULL,"south","nan","nan","1949-1957","blt20-120kw-g","massive-monolithic","hub4lca_ab_x_south_x_x_massive-monolithic_blt20-120kw-g","apartment_block",7,"2.7","735",90,"South_Urban",NULL,"p_4","p_4_1"
27,"ab",NULL,"south","nan","nan","1949-1957","blt20-120kw-g","massive-monolithic","hub4lca_ab_x_south_x_x_massive-monolithic_blt20-120kw-g","apartment_block",8,"3.0","1622",45,"South_Urban",NULL,"p_4","p_4_2"
28,"ab",NULL,"south","nan","nan","1958-1968","blt20-120kw-g","massive-double","hub4lca_ab_x_south_x_x_massive-double_blt20-120kw-g","apartment_block",8,"2.9","1383",180,"South_Urban",NULL,"p_4","p_4_3"
28,"ab",NULL,"south","nan","nan","1958-1968","blt20-120kw-g","massive-double","hub4lca_ab_x_south_x_x_massive-double_blt20-120kw-g","apartment_block",5,"2.5","1301",135,"South_Urban",NULL,"p_4","p_4_4"
28,"ab",NULL,"south","nan","nan","1958-1968","blt20-120kw-g","massive-double","hub4lca_ab_x_south_x_x_massive-double_blt20-120kw-g","apartment_block",7,"2.5","1199",45,"South_Urban",NULL,"p_5","p_5_1"
28,"ab",NULL,"south","nan","nan","1958-1968","blt20-120kw-g","massive-double","hub4lca_ab_x_south_x_x_massive-double_blt20-120kw-g","apartment_block",6,"2.5","1789",90,"South_Urban",NULL,"p_5","p_5_2"
29,"ab",NULL,"south","nan","nan","1958-1968","blt20-120kw-g","massive-monolithic","hub4lca_ab_x_south_x_x_massive-monolithic_blt20-120kw-g","apartment_block",8,"2.6","1253",45,"South_Urban",NULL,"p_5","p_5_3"
29,"ab",NULL,"south","nan","nan","1958-1968","blt20-120kw-g","massive-monolithic","hub4lca_ab_x_south_x_x_massive-monolithic_blt20-120kw-g","apartment_block",4,"2.7","1404",0,"South_Urban",NULL,"p_5","p_5_4"
29,"ab",NULL,"south","nan","nan","1958-1968","blt20-120kw-g","massive-monolithic","hub4lca_ab_x_south_x_x_massive-monolithic_blt20-120kw-g","apartment_block",4,"2.5","1709",90,"South_Urban",NULL,"p_6","p_6_1"
29,"ab",NULL,"south","nan","nan","1958-1968","blt20-120kw-g","massive-monolithic","hub4lca_ab_x_south_x_x_massive-monolithic_blt20-120kw-g","apartment_block",6,"2.5","1575",45,"South_Urban",NULL,"p_6","p_6_2"
30,"ab",NULL,"south","nan","nan","1969-1978","blt20-120kw-g","massive","hub4lca_ab_x_south_x_x_massive_blt20-120kw-g","apartment_block",4,"2.5","1023",90,"South_Urban",NULL,"p_6","p_6_3"
30,"ab",NULL,"south","nan","nan","1969-1978","blt20-120kw-g","massive","hub4lca_ab_x_south_x_x_massive_blt20-120kw-g","apartment_block",5,"2.7","585",180,"South_Urban",NULL,"p_6","p_6_4"
30,"ab",NULL,"south","nan","nan","1969-1978","blt20-120kw-g","massive","hub4lca_ab_x_south_x_x_massive_blt20-120kw-g","apartment_block",6,"2.5","1637",180,"South_Urban",NULL,"p_7","p_7_1"
